path,is_gameplay,gameplay_score,sampled_frames,hud_frame_ratio,minimap_score,skill_button_score,top_hud_score,edge_density,source_label,video_id,webpage_url,description,view_count,like_count,comment_count
datasets/tiktok/mlbb/shrxking_fear/7612270012618820871.mp4,True,0.5638688802719116,4,0.75,0.5164646464646464,0.5833333333333334,0.37543859649122807,0.05233072916666667,shrxking-fear,7612270012618820871,https://www.tiktok.com/@shrxking_fear/video/7612270012618820871,Replying to @obitdjxj,266,4,7
datasets/tiktok/mlbb/mobilelegends_id/7637400385786776852.mp4,True,0.5632109642028809,4,0.75,0.40030303030303027,0.4630862523580861,0.6501754385964912,0.06448784722222223,mobilelegends-id,7637400385786776852,https://www.tiktok.com/@mobilelegends_id/video/7637400385786776852,Kamu berhasil mendapatkan harta karun. Kamu memilih pergi sebelum bahaya yang lebih besar tiba. Tapi selalu ada harta karun yang masih terpendam di dasar laut. Pelayaran pun berlanjut. #MLBBALLSTAR #MLBBDreadsea,53100,1077,63
datasets/tiktok/mlbb/mlbbttofficial/7612493096168819969.mp4,True,0.5630648732185364,4,0.75,0.47737373737373734,0.6082361516034986,0.2652631578947368,0.07894856770833333,mlbb-official,7612493096168819969,https://www.tiktok.com/@mlbbttofficial/video/7612493096168819969,"House Paxley, Ultimate Clash! The perfect collision of the Art of Pausing! #MLBBMARCEL #MLBBNEWHERO #MLBBS40 #MLBBGoldenMonth #MobileLegendsBangBang",2900000,53000,421
datasets/tiktok/mlbb/mlbbtopcreation/7212413439610801409.mp4,True,0.5626181364059448,4,0.75,0.6776767676767677,0.38994169096209913,0.363859649122807,0.05753689236111111,mlbb-top-creation,7212413439610801409,https://www.tiktok.com/@mlbbtopcreation/video/7212413439610801409,Valentina on MANIAC @__elanie  #mobilelegends #mgl #mlbbcreatorcamp,1917,108,0
datasets/tiktok/mlbb/saikyuun_/7358677744571436294.mp4,True,0.562528669834137,4,0.5,0.5076767676767677,0.5022230320699708,0.77,0.10587565104166666,saikyuun-,7358677744571436294,https://www.tiktok.com/@saikyuun_/video/7358677744571436294,Kulit nila @Yunan at @SHRX • Franca  sa personal ba HAHAHA #MLBB #MobileLegends #mlbbtaralaro #PHMIL #mlbballstar #mlbbxbarangay #fyp #phmcbacesleague #mobilelegends_id #mlbb_indonesia,898700,35200,312
datasets/tiktok/mlbb/cedxvi/7468340996628040967.mp4,True,0.5625137090682983,4,0.5,0.6933333333333334,0.4727040816326531,0.5980701754385964,0.08131076388888889,cedxvi,7468340996628040967,https://www.tiktok.com/@cedxvi/video/7468340996628040967,Dieeeeeeee🥶#MLBB #NewSkin #TerizlaCollectorSkin #cedxvi #MobileLegends,79100,5638,54
datasets/tiktok/mlbb/mlbbttofficial/7624006794305670420.mp4,True,0.5619264841079712,4,0.5,0.6316161616161615,0.6017594135868634,0.5033333333333333,0.08285373263888889,mlbb-official,7624006794305670420,https://www.tiktok.com/@mlbbttofficial/video/7624006794305670420,"""My foolish little brother."" #MLBBxNARUTO #MobileLegendsBangBang #MLBBNewSkin #NARUTO #MLBBFreeGaaraSkin #Valirfreeskin",1600000,17100,2049
datasets/tiktok/mlbb/willdominateyougg/7565069516535827730.mp4,True,0.5613729953765869,4,0.5,0.658989898989899,0.40935618443806093,0.7808771929824561,0.07056857638888889,willdominateyougg,7565069516535827730,https://www.tiktok.com/@willdominateyougg/video/7565069516535827730,2 vs 4 🥶 ichigo x aizen #MLBB #mobilelegendsbangbang #willdominateyougg #argus #fyp,160700,16200,119
datasets/tiktok/mlbb/saikyuun_/7461907250681056520.mp4,True,0.5611506700515747,4,0.75,0.391010101010101,0.37195624678442807,0.8131578947368421,0.056653645833333335,saikyuun-,7461907250681056520,https://www.tiktok.com/@saikyuun_/video/7461907250681056520,Nanliligaw ka sa anak ko? 🤨 #MLBB #mobilelegends #mlbbmyhero #fyp #phmcbacesleague #phsovereignofrealmsjohnson,649000,46400,996
datasets/tiktok/mlbb/nilunaa/7624805081770200328.mp4,True,0.5610079169273376,4,0.5,0.5903030303030303,0.6931486880466472,0.3917543859649123,0.09167534722222223,nilunaa,7624805081770200328,https://www.tiktok.com/@nilunaa/video/7624805081770200328,Cuba teka collector mei? #MLBBNEWSKIN #MLBB #mobilelegends #nilunaa,67500,827,45
datasets/tiktok/mlbb/saikyuun_/7431846732880727314.mp4,True,0.5589699745178223,4,0.5,0.6507070707070707,0.5286078717201167,0.6078947368421053,0.07204427083333334,saikyuun-,7431846732880727314,https://www.tiktok.com/@saikyuun_/video/7431846732880727314,They nerfed Ling's face ☹️ #MLBB #mlbb8th #mlbbcelebr8 #mlbbcr8torparty #MILPH #fyp,63400,9770,111
datasets/tiktok/mlbb/willdominateyougg/7643369818124586258.mp4,True,0.5579380393028259,4,0.75,0.6124242424242424,0.2154761904761905,0.6771929824561402,0.05590711805555556,willdominateyougg,7643369818124586258,https://www.tiktok.com/@willdominateyougg/video/7643369818124586258,#MLBB #mobilelegendsbangbang #fyp #willdominateyougg #chicken,179500,16800,201
datasets/tiktok/mlbb/cedxvi/7454177161344191751.mp4,True,0.5578359365463257,4,0.75,0.41666666666666663,0.4081499072843423,0.7087719298245614,0.05563151041666667,cedxvi,7454177161344191751,https://www.tiktok.com/@cedxvi/video/7454177161344191751,What if.. #GreaterThanEver #MLBBM6TorchRelay #MLBBM6,160900,15800,134
datasets/tiktok/mlbb/cedxvi/7509125950450191623.mp4,True,0.5565009713172913,4,0.75,0.5277777777777778,0.2658802628194135,0.7570175438596491,0.04955837673611111,cedxvi,7509125950450191623,https://www.tiktok.com/@cedxvi/video/7509125950450191623,How??🤨 #MLBBCreator #fyp,24500,1148,37
datasets/tiktok/mlbb/mlbbttofficial/7644781861666884880.mp4,True,0.5558749437332153,4,0.75,0.5535353535353535,0.5983965014577259,0.13877192982456138,0.07463216145833333,mlbb-official,7644781861666884880,https://www.tiktok.com/@mlbbttofficial/video/7644781861666884880,"Her silhouette remains hidden, yet her whispers already echo in your ears... Did you hear the soft chuckle of the new hero, Hirara? #MobileLegendsBangBang #MLBBNEWHERO #MLBBHIRARA #MLBBS41 #MLBBScarletEmbers",77500,6599,208
datasets/tiktok/mlbb/mlbbttofficial/7612616149271842068.mp4,True,0.555846631526947,4,0.75,0.5634343434343434,0.39707240038872693,0.4935087719298245,0.05507703993055556,mlbb-official,7612616149271842068,https://www.tiktok.com/@mlbbttofficial/video/7612616149271842068,Promo Carnival #MLBBGoldenMonth #MLBBGoldenMonthEvent #MobileLegendsbangbang,770500,8150,137
