ts,video_id,title,source,source_url,search_query,path,duration,duration,gunfire_density,burst_ratio,audio_rms,center_motion,center_text,panns_gunshot,panns_machine_gun,panns_gun_max,panns_speech,panns_music,killfeed_density,quality_score,heuristic_score,ranker_score,view_count,hook_score,clip_score,fight_score,payoff_score,kill_notification_score,has_author_kill,loot_walk,panns_explosion,quality_ok,reject_reason,batch_id
2026-09-07T21:08:44Z,JUdPWEXnHC0,yt JUdPWEXnHC0,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_JUdPWEXnHC0.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_JUdPWEXnHC0.mp4,36.12,36.12,0.2057,4.675,0.1979,0.2984,0.515,0.0003,0.0004,0.0013,0.0149,0.8343,,,,,0,,,,,,,0,0.0013,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,13
2026-09-07T21:09:01Z,GMBzPiKrg1Q,yt GMBzPiKrg1Q,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_GMBzPiKrg1Q.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_GMBzPiKrg1Q.mp4,35.68,35.68,0.0632,6.842,0.0481,0.2068,0.373,0.5594,0.7131,0.7131,0.6796,0.0245,,,,,0,,,,,,,1,0.0035,False,hard_loot_walk,14
2026-09-07T21:09:26Z,KTD8ej6CR0I,yt KTD8ej6CR0I,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_KTD8ej6CR0I.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_KTD8ej6CR0I.mp4,23.76,23.76,0.0362,28.296,0.0106,0.127,0.493,0.1146,0.0247,0.1146,0.0381,0.0428,,,,,0,,,,,,,,0.0037,False,loot_walk=density0.036,15
2026-09-07T21:10:35Z,E3tkTQ_wRtc,yt E3tkTQ wRtc,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_E3tkTQ_wRtc.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_E3tkTQ_wRtc.mp4,23.38,23.38,0.0597,11.431,0.032,0.1669,0.296,0.4935,0.4324,0.4935,0.0726,0.0202,,,,,0,,,,,,,1,0.0011,False,hard_loot_walk,16
2026-09-07T21:11:11Z,QpalJVjTJwI,yt QpalJVjTJwI,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_QpalJVjTJwI.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_QpalJVjTJwI.mp4,37.66,37.66,0.0327,5.724,0.0753,0.227,0.466,0.5356,0.3704,0.5356,0.4572,0.2219,,,,,0,,,,,,,,0.0009,False,no_shots=density0.033:burst5.72,16
2026-09-07T21:14:35Z,TYbPJ9voh-M,yt TYbPJ9voh-M,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_TYbPJ9voh-M.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_TYbPJ9voh-M.mp4,16.46,16.46,0.1461,5.799,0.1404,0.1446,0.193,0.1544,0.0636,0.1544,0.5462,0.6227,0.5766,0.0,,,0,,,0.7964,0.0,0.225,0,0,0.017,False,payoff_low=0.000:min0.10,17
2026-09-07T21:15:21Z,eZ_zJeJfDgI,yt eZ zJeJfDgI,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_eZ_zJeJfDgI.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_eZ_zJeJfDgI.mp4,27.12,27.12,0.22,5.571,0.2726,0.1837,0.498,0.0154,0.0075,0.0154,0.0805,0.7766,,,,,0,,,,,,,0,0.0022,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,17
2026-09-07T21:16:41Z,3oNB6ZO7AtY,yt 3oNB6ZO7AtY,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_3oNB6ZO7AtY.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_3oNB6ZO7AtY.mp4,53.52,53.52,0.22,5.612,0.276,0.1914,0.361,0.2294,0.1986,0.2294,0.068,0.666,0.0,0.0,,,0,,,0.8263,0.0,0.0,0,0,0.0166,False,payoff_low=0.000:min0.10,14
2026-09-07T21:18:15Z,E8W4aDlKf4I,yt E8W4aDlKf4I,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_E8W4aDlKf4I.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_E8W4aDlKf4I.mp4,50.74,50.74,0.011,9.469,0.0277,0.3301,0.332,0.0117,0.0112,0.0117,0.6967,0.7821,,,,,0,,,,,,,,0.0018,False,run_loot=motion0.330:gun0.011,19
2026-09-07T21:18:32Z,LKAi_8_Hayw,yt LKAi 8 Hayw,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_LKAi_8_Hayw.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_LKAi_8_Hayw.mp4,49.66,49.66,0.126,8.018,0.0952,0.2542,0.329,0.0007,0.0004,0.0008,0.7755,0.8502,0.6039,0.0,,,0,,,0.7354,0.0,0.225,0,0,0.0008,False,payoff_low=0.000:min0.10,18
2026-09-07T21:19:28Z,GMBzPiKrg1Q,yt GMBzPiKrg1Q,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_GMBzPiKrg1Q.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_GMBzPiKrg1Q.mp4,35.68,35.68,0.0632,6.842,0.0481,0.2068,0.373,0.5594,0.7131,0.7131,0.6796,0.0245,,,,,0,,,,,,,1,0.0035,False,hard_loot_walk,20
